取得日時,テーブル番号,日付,時刻,水位[m],10分雨量[mm],降り始めからの雨量[mm]
2026-08-31 13:26:41,0,08/31,13:20,0.63 →,--,--
2026-08-31 13:26:41,0,,13:10,0.63 →,--,--
2026-08-31 13:26:41,0,,13:00,0.63 →,--,--
2026-08-31 13:26:41,0,,12:50,0.63 →,--,--
2026-08-31 13:26:41,0,,12:40,0.63 →,--,--
2026-08-31 13:26:41,0,,12:30,0.63 →,--,--
2026-08-31 13:26:41,0,,12:20,0.63 →,--,--
2026-08-31 13:26:41,0,,12:10,0.63 ↓,--,--
2026-08-31 13:26:41,0,,12:00,0.64 →,--,--
2026-08-31 13:26:41,0,,11:50,0.64 ↓,--,--
2026-08-31 13:26:41,0,,11:40,0.65 →,--,--
2026-08-31 13:26:41,0,,11:30,0.65 ↓,--,--
2026-08-31 13:26:41,0,,11:20,0.66 →,--,--
2026-08-31 13:26:41,0,,11:10,0.66 ↓,--,--
2026-08-31 13:26:41,0,,11:00,0.68 ↓,--,--
2026-08-31 13:26:41,0,,10:50,0.71 ↓,--,--
2026-08-31 13:26:41,0,,10:40,0.72 ↓,--,--
2026-08-31 13:26:41,0,,10:30,0.73 ↓,--,--
2026-08-31 13:26:41,0,,10:20,0.74 ↓,--,--
2026-08-31 13:26:41,0,,10:10,0.75 →,--,--
2026-08-31 13:26:41,0,,10:00,0.75 →,--,--
2026-08-31 13:26:41,0,,09:50,0.75 →,--,--
2026-08-31 13:26:41,0,,09:40,0.75 →,--,--
2026-08-31 13:26:41,0,,09:30,0.75 →,--,--
2026-08-31 13:26:41,0,,09:20,0.75 →,--,--
2026-08-31 13:26:41,0,,09:10,0.75 →,--,--
2026-08-31 13:26:41,0,,09:00,0.75 →,--,--
2026-08-31 13:26:41,0,,08:50,0.75 ↓,--,--
2026-08-31 13:26:41,0,,08:40,0.76 →,--,--
2026-08-31 13:26:41,0,,08:30,0.76 →,--,--
2026-08-31 13:26:41,0,,08:20,0.76 →,--,--
2026-08-31 13:26:41,0,,08:10,0.76 →,--,--
2026-08-31 13:26:41,0,,08:00,0.76 →,--,--
2026-08-31 13:26:41,0,,07:50,0.76 ↓,--,--
2026-08-31 13:26:41,0,,07:40,0.77 ↓,--,--
2026-08-31 13:26:41,0,,07:30,0.78 →,--,--
2026-08-31 13:26:41,0,,07:20,0.78 ↓,--,--
2026-08-31 13:26:41,0,,07:10,0.80 ↓,--,--
2026-08-31 13:26:41,0,,07:00,0.82 ↓,--,--
2026-08-31 13:26:41,0,,06:50,0.83 →,--,--
2026-08-31 13:26:41,0,,06:40,0.83 →,--,--
2026-08-31 13:26:41,0,,06:30,0.83 →,--,--
2026-08-31 13:26:41,0,,06:20,0.83 →,--,--
2026-08-31 13:26:41,0,,06:10,0.83 →,--,--
2026-08-31 13:26:41,0,,06:00,0.83 →,--,--
2026-08-31 13:26:41,0,,05:50,0.83 →,--,--
2026-08-31 13:26:41,0,,05:40,0.83 →,--,--
2026-08-31 13:26:41,0,,05:30,0.83 →,--,--
2026-08-31 13:26:41,0,,05:20,0.83 →,--,--
2026-08-31 13:26:41,0,,05:10,0.83 ↓,--,--
2026-08-31 14:07:24,0,08/31,14:00,0.63 →,--,--
2026-08-31 14:07:24,0,,13:50,0.63 →,--,--
2026-08-31 14:07:24,0,,13:40,0.63 →,--,--
2026-08-31 14:07:24,0,,13:30,0.63 →,--,--
