取得日時,テーブル番号,日付,時刻,水位[m],10分雨量[mm],降り始めからの雨量[mm]
2026-09-23 08:14:59,0,09/23,08:10,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,08:00,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,07:50,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,07:40,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,07:30,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,07:20,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,07:10,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,07:00,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,06:50,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,06:40,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,06:30,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,06:20,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,06:10,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,06:00,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,05:50,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,05:40,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,05:30,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,05:20,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,05:10,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,05:00,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,04:50,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,04:40,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,04:30,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,04:20,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,04:10,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,04:00,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,03:50,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,03:40,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,03:30,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,03:20,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,03:10,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,03:00,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,02:50,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,02:40,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,02:30,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,02:20,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,02:10,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,02:00,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,01:50,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,01:40,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,01:30,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,01:20,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,01:10,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,01:00,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,00:50,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,00:40,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,00:30,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,00:20,0.10 →,--,--
2026-09-23 08:14:59,0,09/23,00:10,0.10 →,--,--
2026-09-23 08:14:59,0,09/22,24:00,0.10 →,--,--
2026-09-23 07:58:15,0,09/22,23:50,0.10 →,--,--
2026-09-23 07:58:15,0,09/22,23:40,0.10 →,--,--
2026-09-23 07:47:14,0,09/22,23:30,0.10 →,--,--
2026-09-23 07:31:33,0,09/22,23:20,0.10 →,--,--
2026-09-23 07:31:33,0,09/22,23:10,0.10 →,--,--
2026-09-23 07:17:14,0,09/22,23:00,0.10 →,--,--
2026-09-23 06:58:45,0,09/22,22:50,0.10 →,--,--
2026-09-23 06:58:45,0,09/22,22:40,0.10 →,--,--
2026-09-23 06:48:06,0,09/22,22:30,0.10 →,--,--
2026-09-23 06:31:02,0,09/22,22:20,0.10 →,--,--
2026-09-23 06:31:02,0,09/22,22:10,0.10 →,--,--
2026-09-23 06:16:26,0,09/22,22:00,0.10 →,--,--
2026-09-23 05:59:19,0,09/22,21:50,0.10 →,--,--
2026-09-23 05:59:19,0,09/22,21:40,0.10 →,--,--
2026-09-23 05:48:37,0,09/22,21:30,0.10 →,--,--
2026-09-23 05:31:20,0,09/22,21:20,0.10 →,--,--
2026-09-23 05:31:20,0,09/22,21:10,0.10 →,--,--
2026-09-23 05:14:00,0,09/22,21:00,0.10 →,--,--
2026-09-23 04:56:41,0,09/22,20:50,0.10 →,--,--
2026-09-23 04:56:41,0,09/22,20:40,0.10 →,--,--
2026-09-23 04:43:34,0,09/22,20:30,0.10 →,--,--
2026-09-23 04:29:31,0,09/22,20:20,0.10 →,--,--
2026-09-23 04:29:31,0,09/22,20:10,0.10 →,--,--
2026-09-23 04:15:00,0,09/22,20:00,0.10 →,--,--
2026-09-23 03:58:03,0,09/22,19:50,0.10 →,--,--
2026-09-23 03:58:03,0,09/22,19:40,0.10 →,--,--
2026-09-23 03:42:59,0,09/22,19:30,0.10 →,--,--
2026-09-23 03:42:59,0,09/22,19:20,0.10 →,--,--
2026-09-23 03:21:20,0,09/22,19:10,0.10 →,--,--
2026-09-23 03:21:20,0,09/22,19:00,0.10 →,--,--
2026-09-23 02:58:02,0,09/22,18:50,0.10 →,--,--
2026-09-23 02:58:02,0,09/22,18:40,0.10 →,--,--
2026-09-23 02:46:55,0,09/22,18:30,0.10 →,--,--
2026-09-23 02:32:13,0,09/22,18:20,0.10 →,--,--
2026-09-23 02:32:13,0,09/22,18:10,0.10 →,--,--
2026-09-23 02:18:08,0,09/22,18:00,0.10 →,--,--
2026-09-23 02:00:12,0,09/22,17:50,0.10 →,--,--
2026-09-23 02:00:12,0,09/22,17:40,0.10 →,--,--
2026-09-23 01:49:24,0,09/22,17:30,0.10 →,--,--
2026-09-23 01:35:05,0,09/22,17:20,0.10 →,--,--
2026-09-23 01:19:01,0,09/22,17:10,0.10 →,--,--
2026-09-23 01:19:01,0,09/22,17:00,0.10 →,--,--
2026-09-23 00:59:04,0,09/22,16:50,0.10 →,--,--
2026-09-23 00:59:04,0,09/22,16:40,0.10 →,--,--
2026-09-23 00:48:28,0,09/22,16:30,0.10 →,--,--
2026-09-23 00:32:40,0,09/22,16:20,0.10 →,--,--
2026-09-23 00:32:40,0,09/22,16:10,0.10 →,--,--
2026-09-23 00:18:13,0,09/22,16:00,0.10 →,--,--
2026-09-22 23:58:48,0,09/22,15:50,0.10 →,--,--
2026-09-22 23:58:48,0,09/22,15:40,0.10 →,--,--
2026-09-22 23:43:55,0,09/22,15:30,0.10 →,--,--
2026-09-22 23:23:43,0,09/22,15:20,0.10 →,--,--
2026-09-22 23:23:43,0,09/22,15:10,0.10 →,--,--
2026-09-22 23:01:32,0,09/22,15:00,0.10 →,--,--
2026-09-22 23:01:32,0,09/22,14:50,0.10 →,--,--
2026-09-22 23:01:32,0,09/22,14:40,0.10 →,--,--
2026-09-22 22:50:30,0,09/22,14:30,0.10 →,--,--
2026-09-22 22:33:00,0,09/22,14:20,0.10 →,--,--
2026-09-22 22:12:59,0,09/22,14:10,0.10 →,--,--
2026-09-22 22:12:59,0,09/22,14:00,0.10 →,--,--
2026-09-22 21:54:36,0,09/22,13:50,0.10 →,--,--
2026-09-22 21:54:36,0,09/22,13:40,0.10 →,--,--
2026-09-22 21:38:12,0,09/22,13:30,0.10 →,--,--
2026-09-22 21:38:12,0,09/22,13:20,0.10 →,--,--
2026-09-22 21:17:14,0,09/22,13:10,0.10 →,--,--
2026-09-22 21:17:14,0,09/22,13:00,0.10 →,--,--
2026-09-22 20:56:21,0,09/22,12:50,0.10 ↓,--,--
2026-09-22 20:56:21,0,09/22,12:40,0.11 →,--,--
2026-09-22 20:40:59,0,09/22,12:30,0.11 →,--,--
2026-09-22 20:40:59,0,09/22,12:20,0.11 →,--,--
2026-09-22 20:22:43,0,09/22,12:10,0.11 →,--,--
2026-09-22 20:22:43,0,09/22,12:00,0.11 →,--,--
2026-09-22 20:00:32,0,09/22,11:50,0.11 ↓,--,--
2026-09-22 20:00:32,0,09/22,11:40,0.12 →,--,--
2026-09-22 19:49:48,0,09/22,11:30,0.12 →,--,--
2026-09-22 19:35:41,0,09/22,11:20,0.12 →,--,--
2026-09-22 19:20:49,0,09/22,11:10,0.12 →,--,--
2026-09-22 19:20:49,0,09/22,11:00,0.12 →,--,--
