取得日時,テーブル番号,日付,時刻,水位[m],10分雨量[mm],降り始めからの雨量[mm]
2026-09-02 03:16:23,0,09/02,03:10,0.29 →,--,--
2026-09-02 03:16:23,0,09/02,03:00,0.29 →,--,--
2026-09-02 03:16:23,0,09/02,02:50,0.29 →,--,--
2026-09-02 03:16:23,0,09/02,02:40,0.29 →,--,--
2026-09-02 03:16:23,0,09/02,02:30,0.29 →,--,--
2026-09-02 03:16:23,0,09/02,02:20,0.29 ↓,--,--
2026-09-02 03:16:23,0,09/02,02:10,0.30 ↑,--,--
2026-09-02 03:16:23,0,09/02,02:00,0.29 ↓,--,--
2026-09-02 03:16:23,0,09/02,01:50,0.30 →,--,--
2026-09-02 03:16:23,0,09/02,01:40,0.30 ↑,--,--
2026-09-02 03:16:23,0,09/02,01:30,0.29 ↓,--,--
2026-09-02 03:16:23,0,09/02,01:20,0.30 →,--,--
2026-09-02 03:16:23,0,09/02,01:10,0.30 →,--,--
2026-09-02 03:16:23,0,09/02,01:00,0.30 →,--,--
2026-09-02 03:16:23,0,09/02,00:50,0.30 →,--,--
2026-09-02 03:16:23,0,09/02,00:40,0.30 →,--,--
2026-09-02 03:16:23,0,09/02,00:30,0.30 →,--,--
2026-09-02 03:16:23,0,09/02,00:20,0.30 →,--,--
2026-09-02 03:16:23,0,09/02,00:10,0.30 →,--,--
2026-09-02 03:16:23,0,09/01,24:00,0.30 →,--,--
2026-09-02 03:16:23,0,09/01,23:50,0.30 ↓,--,--
2026-09-02 03:16:23,0,09/01,23:40,0.31 →,--,--
2026-09-02 03:16:23,0,09/01,23:30,0.31 →,--,--
2026-09-02 03:16:23,0,09/01,23:20,0.31 ↓,--,--
2026-09-02 03:16:23,0,09/01,23:10,0.32 →,--,--
2026-09-02 03:16:23,0,09/01,23:00,0.32 →,--,--
2026-09-02 03:16:23,0,09/01,22:50,0.32 →,--,--
2026-09-02 03:16:23,0,09/01,22:40,0.32 ↓,--,--
2026-09-02 03:16:23,0,09/01,22:30,0.33 →,--,--
2026-09-02 03:16:23,0,09/01,22:20,0.33 →,--,--
2026-09-02 03:16:23,0,09/01,22:10,0.33 →,--,--
2026-09-02 03:16:23,0,09/01,22:00,0.33 →,--,--
2026-09-02 03:16:23,0,09/01,21:50,0.33 →,--,--
2026-09-02 03:16:23,0,09/01,21:40,0.33 →,--,--
2026-09-02 03:16:23,0,09/01,21:30,0.33 →,--,--
2026-09-02 03:16:23,0,09/01,21:20,0.33 →,--,--
2026-09-02 03:16:23,0,09/01,21:10,0.33 →,--,--
2026-09-02 03:16:23,0,09/01,21:00,0.33 →,--,--
2026-09-02 03:16:23,0,09/01,20:50,0.33 ↓,--,--
2026-09-02 03:16:23,0,09/01,20:40,0.34 →,--,--
2026-09-02 03:16:23,0,09/01,20:30,0.34 ↓,--,--
2026-09-02 03:16:23,0,09/01,20:20,0.35 →,--,--
2026-09-02 03:16:23,0,09/01,20:10,0.35 →,--,--
2026-09-02 03:16:23,0,09/01,20:00,0.35 ↓,--,--
2026-09-02 03:16:23,0,09/01,19:50,0.36 →,--,--
2026-09-02 03:16:23,0,09/01,19:40,0.36 ↓,--,--
2026-09-02 03:16:23,0,09/01,19:30,0.37 →,--,--
2026-09-02 03:16:23,0,09/01,19:20,0.37 ↓,--,--
2026-09-02 03:16:23,0,09/01,19:10,0.38 →,--,--
2026-09-02 03:16:23,0,09/01,19:00,0.38 ↓,--,--
2026-09-02 02:13:08,0,09/01,18:50,0.39 →,--,--
2026-09-02 02:13:08,0,09/01,18:40,0.39 →,--,--
2026-09-02 02:13:08,0,09/01,18:30,0.39 →,--,--
2026-09-02 02:13:08,0,09/01,18:20,0.39 →,--,--
2026-09-02 02:13:08,0,09/01,18:10,0.39 →,--,--
2026-09-02 02:13:08,0,09/01,18:00,0.39 →,--,--
2026-09-02 01:39:06,0,09/01,17:50,0.39 →,--,--
2026-09-02 01:39:06,0,09/01,17:40,0.39 →,--,--
2026-09-02 01:39:06,0,09/01,17:30,0.39 →,--,--
2026-09-02 01:39:06,0,09/01,17:20,0.39 →,--,--
2026-09-02 00:13:13,0,09/01,17:10,0.39 →,--,--
2026-09-02 00:13:13,0,09/01,17:00,0.39 →,--,--
2026-09-02 00:13:13,0,09/01,16:50,0.39 →,--,--
2026-09-02 00:13:13,0,09/01,16:40,0.39 →,--,--
2026-09-02 00:13:13,0,09/01,16:30,0.39 ↓,--,--
2026-09-02 00:13:13,0,09/01,16:20,0.40 →,--,--
2026-09-02 00:13:13,0,09/01,16:10,0.40 →,--,--
2026-09-02 00:13:13,0,09/01,16:00,0.40 →,--,--
2026-09-01 23:14:12,0,09/01,15:50,0.40 →,--,--
2026-09-01 23:14:12,0,09/01,15:40,0.40 →,--,--
2026-09-01 23:14:12,0,09/01,15:30,0.40 ↓,--,--
2026-09-01 23:14:12,0,09/01,15:20,0.41 ↓,--,--
2026-09-01 23:14:12,0,09/01,15:10,0.42 ↓,--,--
2026-09-01 23:14:12,0,09/01,15:00,0.43 →,--,--
2026-09-01 22:13:46,0,09/01,14:50,0.43 →,--,--
2026-09-01 22:13:46,0,09/01,14:40,0.43 →,--,--
2026-09-01 22:13:46,0,09/01,14:30,0.43 →,--,--
2026-09-01 22:13:46,0,09/01,14:20,0.43 →,--,--
2026-09-01 22:13:46,0,09/01,14:10,0.43 →,--,--
2026-09-01 22:13:46,0,09/01,14:00,0.43 →,--,--
2026-09-01 21:17:52,0,09/01,13:50,0.43 →,--,--
2026-09-01 21:17:52,0,09/01,13:40,0.43 →,--,--
2026-09-01 21:17:52,0,09/01,13:30,0.43 ↓,--,--
2026-09-01 21:17:52,0,09/01,13:20,0.44 ↑,--,--
